text,label,label_name
"My new card is here, what's the process for activating it?",0,activate_my_card
"I am unable to activate my card, it won't let me.",0,activate_my_card
Can you help me activate my card,0,activate_my_card
I need my card to be activated right now.,0,activate_my_card
"Just received my replacement card, what steps do i need to take to activate it?",0,activate_my_card
What is the youngest age for an account?,1,age_limit
What is the appropriate age for my child to be able to open an account?,1,age_limit
How do I set up an account for my children?,1,age_limit
How old do you have to be to open an account?,1,age_limit
At what age can I open an account?,1,age_limit
My google top-up pay is not going through,2,apple_pay_or_google_pay
Can I use my Apple Watch to pay for gas?,2,apple_pay_or_google_pay
Can I top up with Google Pay?,2,apple_pay_or_google_pay
"Can Google Pay be used for top up, please help?",2,apple_pay_or_google_pay
Top up is not working even though I have my AMEX in apple pay.,2,apple_pay_or_google_pay
I need to know where I can withdraw money.,3,atm_support
Where can I get money from my card?,3,atm_support
The card can be used at which ATMs?,3,atm_support
Where can money withdrawals be made?,3,atm_support
Do I have to use a bank approved ATM to withdraw money?,3,atm_support
I will be traveling and want money to be added automatically in certain intervals. Is this possible?,4,automatic_top_up
How do I top-up while traveling?,4,automatic_top_up
How do i set up auto top-up?,4,automatic_top_up
I want to set up an auto top-up,4,automatic_top_up
How do I auto top-up?,4,automatic_top_up
What's the time frame normally for a UK account transfer? I just made one and it's not showing up anywhere. I want to be sure that everything is good.,5,balance_not_updated_after_bank_transfer
I have transferred some money but the balance hasn't changed,5,balance_not_updated_after_bank_transfer
"Is something wrong with my account, my balance didn't change after I transferred some money",5,balance_not_updated_after_bank_transfer
The balance has not been updated.,5,balance_not_updated_after_bank_transfer
Where is the transfer to my account?,5,balance_not_updated_after_bank_transfer
How long should a cheque deposit take to show? My account hasn't updated and I want to make sure everything is okay.,6,balance_not_updated_after_cheque_or_cash_deposit
"I deposited a check yesterday and Im not seeing it in my account. i need the money, is there something wrong with my account? check it out please",6,balance_not_updated_after_cheque_or_cash_deposit
"When will I see my cash, since I already deposited my check?",6,balance_not_updated_after_cheque_or_cash_deposit
I checked the app and my balance has not been updated for the cash or cheque deposit.,6,balance_not_updated_after_cheque_or_cash_deposit
When will my cheque process?,6,balance_not_updated_after_cheque_or_cash_deposit
My transfer failed to a beneficiary,7,beneficiary_not_allowed
I couldn't transfer to an account.,7,beneficiary_not_allowed
Why is this not letting me exchange crypto? I need help making this transaction go through.,7,beneficiary_not_allowed
For some reason I am unable to preform a transfer to a beneficiary.,7,beneficiary_not_allowed
"I tried transferring money to a beneficiary, however, I was unsuccessful.",7,beneficiary_not_allowed
Please cancel my last transaction.,8,cancel_transfer
I recently made a transfer but I need to cancel it as soon as possible.  Please let me know when this happens.,8,cancel_transfer
I wish to cancel a transfer,8,cancel_transfer
How to cancel a transaction,8,cancel_transfer
A transfer has been made in my account that I need to cancel.  This was a mistake on my part and I hope we can get this resolved quickly.,8,cancel_transfer
"I have a card that expires in the coming month, do I have to specifically ask for the updated card?",9,card_about_to_expire
Do I need to order a new card before it expires?,9,card_about_to_expire
Tell me how to replace my expired card.,9,card_about_to_expire
want to get a new card in china,9,card_about_to_expire
What should I do once my card expires?,9,card_about_to_expire
What businesses accept this card?,10,card_acceptance
Are there limits as to where my card will be accepted?,10,card_acceptance
Which merchants accept this card?,10,card_acceptance
In what places can I use my card?,10,card_acceptance
Can i use this card at any store?,10,card_acceptance
Is my new bank card on the way and is there a way to track it?,11,card_arrival
How do I know when my new card is going to arrive?,11,card_arrival
I have been waiting over a week. Is the card still coming?,11,card_arrival
How long does it take for me to get my new card?,11,card_arrival
I'm still waiting for my card.,11,card_arrival
Can i choose a specific delivery date?,12,card_delivery_estimate
My card is needed soon,12,card_delivery_estimate
"To deliver to the US, how long will it take?",12,card_delivery_estimate
how long does delivery take?,12,card_delivery_estimate
What is the estimated date for delivery to US?,12,card_delivery_estimate
How do I link an existing card?,13,card_linking
"I got my card now, how do I make it show up in the app?",13,card_linking
"I want to link to my card card with you, how?",13,card_linking
How do I make my card show up in the app?,13,card_linking
What do I do to link my new card?,13,card_linking
I think my card is broke?,14,card_not_working
Why doesn't my card work for any transactions?,14,card_not_working
"Out of the blue, my card stopped working.",14,card_not_working
What are ways to test why my card might not be working?,14,card_not_working
Today I used my card at a restaurant and it was declined. Why?,14,card_not_working
"Hi, I am new to this. Are there any additional fees or charges that I should be aware of? I was looking through the app and I thought I saw something in regards to fee-free allowances.",15,card_payment_fee_charged
Why am I charged a fee for using my card on some purchases?,15,card_payment_fee_charged
Why have I been charged a fee for card payment?,15,card_payment_fee_charged
Why did I get charged a fee for my card payment?,15,card_payment_fee_charged
When do i get charged a fee for using the card?,15,card_payment_fee_charged
There were a couple of payments that I have noticed on my account with my card that I didn't make. Is it possible that somebody else has my card information?,16,card_payment_not_recognised
I need some help now please! There are some transactions on my account that I do not remember purchasing. Can they be reversed? Can you please cancel or freeze my card so I don't keep getting charged?!,16,card_payment_not_recognised
There is a vendor name I don't recognize on a payment from my account. I don't think I made this payment.,16,card_payment_not_recognised
"There are a couple payments with my card shown in the app that i really didn't make myself. What's going on with this, does someone has access to my card?!",16,card_payment_not_recognised
I didn't make a payment that shows in my app.,16,card_payment_not_recognised
What is your exchange rate between UK pounds and Russian rubles for my last transaction,17,card_payment_wrong_exchange_rate
Why was I charged extra on my last UK pound to Russian ruble exchange?,17,card_payment_wrong_exchange_rate
I think there has been a mistake on my exchange rate for this purchase.,17,card_payment_wrong_exchange_rate
I bought an item then noticed the exchange rate was wrong.,17,card_payment_wrong_exchange_rate
I made a purchase and was charged at the wrong foreign exchange rate.,17,card_payment_wrong_exchange_rate
lost my card in atm,18,card_swallowed
The bank machine didn't give my card back how do I get a new one fast?,18,card_swallowed
My card was eaten by the cash machine what do I do?,18,card_swallowed
How do I get my card out of the ATM?,18,card_swallowed
Why did the ATM eat my card?,18,card_swallowed
"extra fees on a cash withdrawal, not cool.",19,cash_withdrawal_charge
"Is there a fee when I get cash from an ATM? Is there a limit I can take out? If there is a fee, what is it?",19,cash_withdrawal_charge
"I am not supposed to be charged a cash withdrawal fee, but I was.",19,cash_withdrawal_charge
Why do I have a charge for an ATM withdrawal? I thought these were free?,19,cash_withdrawal_charge
How come I got to pay to get my money from the ATM?,19,cash_withdrawal_charge
My card shows a cash withdrawal I don't recognize.,20,cash_withdrawal_not_recognised
Somebody made a withdrawal from my account for 500. I have my card so how can this be? Does somebody have a duplicate card or something? Help please.,20,cash_withdrawal_not_recognised
